Metiers
cadre
"cadre, employe"
ouvrier
cadre
etudiant
etudiant
"cadre, ouvrier"
"cadre, employe"
cadre
"cadre, employe"
cadre
employe
cadre
employe
"cadre, employe"
ouvrier
employe
cadre
cadre
employe
employe
retraite
employe
cadre
"cadre, employe"
employe
employe
employe
employe
ouvrier
retraite
"employe, ouvrier"
employee
ouvrier
"cadre, ouvrier"
employe
ouvrier
employe
cadre
employe
cadre
employe
employe
etudiant
employe
sans activite
employe
employe
cadre
etudiant
employe
employe
ouvrier
employe
retraite
ouvrier
employe
ouvrier
etudiant
cadre
cadre
employe
cadre
ouvrier
employe
retraite
retraite
ouvrier
employe
etudiant
employe
etudiant
cadre
ouvrier
employe
employe
cadre
employe
employe
cadre
cadre
ouvrier
cadre
employe
employe
employe
ouvrier
cadre
employe
cadre
employe
employe
employe
etudiant
employe
ouvrier
employe
cadre
employe
employe
employe
etudiant
employe
ouvrier
ouvrier
employe
employe
ouvrier
employe
ouvrier
employe
etudiant
sans activite
employe
employe
employe
sans activite
sans activite
employe
sans activite
employe
sans activite
cadre
employe
sans activite
employe
employe
employe
sans activite
employe
cadre
employe
retraite
employe
sans activite
cadre
employe
sans activite
employe
sans activite
employe
sans activite
employe
employe
sans activite
employe
employe
employe
sans activite
cadre
sans activite
cadre
cadre
employe
ouvrier
employe
employe
sans activite
employe
employe
employe
cadre
sans activite
ouvrier
ouvrier
employe
retraite
ouvrier
cadre
chauffeur de taxi
manœuvre
ouvrier
cadre
cadre
ouvrier
encadrant des cours de lutte contre l'analphabetisme
ouvrier
etudiant
manœuvre
employe
ouvrier
etudiant
encadrante
comptable
ouvrier
employe
employe
employe/enseignante
retraite
ouvrier
enseignant
employe
ouvrier/enseignante
manœuvre
ouvriers
etudiant
employe
pas de travail
ouvrier
ouvrier
employe
employe
retraite
employe
employe
ouvrier
pas de travail
etudiant
employe
retraite
ouvrier
employe
employe
ouvrier
employe
ouvrier
cadre
etudiant
employe
employe
retraite
etudiant
retraite
employe
employe
ouvrier
employe
ouvrier
etudiant
cadre - etudiant
employe
etudiant - retraite
cadre - etudiant
etudiant
cadre - etudiant
cadre - emplye - etudiant
employe
etudiant
etudiant
etudiant
employe
etudiant
employe
employe - sans activite - etudiant
etudiant
etudiant
employe
employe - etudiant
employe
cadre
employe
etudiant
employe
cadre
retraite
employee
cadre+ profession libre
ouvrier
""
cadre+employe
employe
cadre
autre
employe
commercant
employe
employe
etudiant
autre
cadre/employe
commercant
employe
profession libre
cadre
autre
employe
autre
employe
etudiant
etudiant
etudiant
etudiant
etudiant
etudiant
etudiant
etudiant
etudiant
etudiant
etudiant
etudiant
sans activite
etudiant
etudiant
etudiant
etudiant
etudiant
etudiant
etudiant
etudiant
etudiant
etudiant
etudiant
etudiant
etudiant
cadre et employe
etudiant
etudiant
employe
etudiant
etudiant
etudiant
etudiant
etudiant
etudiant
employe
cadre
employe
etudiant
etudiant
cadre et employe
etudiant
etudiant
etudiant
cadre
employe
cadre
cadre
etudiant
employe
etudiant
autre
employe
ouvrier
employe/etudiant
employe
employe
employe
ouvrier
employe
employe
employe/etudiant
employe
employe
ouvrier/etudiant
employe
ouvrier/etudiant
employe/etudiant
employe
employe
empoye
ouvrier
employe
employe
employe
employe
employe
employe
ouvrier
cadre/etudiant
cadre
employe
employe
employe
employe
employe/etudiant
employe/etudiant
employe
employe
employe
employe
employe/etudiant
employe
employe
employe
employe
employe
ouvrier
employe
employe/etudiant
employe/cadre/etudiant
employe/sans activite/etudiant
employe
employe/ouvrier
employe
cadre
employe
cadre/employe
cadre
cadre
employe
employe/cadre/etudiant
employe/ouvrier
ouvrier/etudiant
ouvrier
cadre/ouvrier
employe
employe/etudiant
employe/cadre/etudiant
employe/sans activite/etudiant
employe
employe/ouvrier
employe
employe/ouvrier/etudiant/retraite
employe/etudiant/retraite
cadre/etudiant
employe/etudiant
cadre/emloye
emloye
employe/sans activite/etudiant
etudiant
employe/etudiant
employe/sans activite/etudiant
etudiant
cadre/etudiant
cadre/employe/etudiant
ouvrier/etudiant
ouvrier/etudiant
etudiant
employe/etudiant
retraite
professeurs retraites
"veterinaire, medecin generaliste, cadre"
employe - cadre
retraites
retraite-employe-ouvrier
retraites
employe - cadre
ouvrier
etudiants
photographe
cadre- employe
il travaille dans un restaurant
artiste
cadre- employe
ouvrier/etudiant
employe/etudiant
retraite
ouvrier
employe
retraite
employe/etudiant
employe/etudiant
retraite
cadre/employe
retraite
cadre/etudiant
employe
employe
cadre/etudiant
cadre
employe
ouvrier
employe
cadre
employe
cadre
employe
employe
employe
employe
employe
etudiant
employe
employe
employe
employe
ouvrier
retraite
entrepreneur
employe
employe
ouvrier
retraite
ouvrier
employe
employe
cadre
entrepreneur
cadre
ouvrier
employe
employe/sans activite/etudiant
cadre etudiant
employe
employe/ouvrier/etudiant/retraite
employe/ouvrier
employe
